Username,Repo Name,Stars
electron-react-boilerplate,electron-react-boilerplate,19.7k
jhipster,generator-jhipster,19.6k
verekia,js-stack-from-scratch,19.2k
flutter,flutter,142k
jlevy,the-art-of-command-line,107k
nodejs,node,88.2k
microsoft,PowerToys,74.1k
atom,atom,58.1k
alacritty,alacritty,39.8k
x64dbg,x64dbg,38.6k
FiloSottile,mkcert,35.5k
GitSquared,edex-ui,35.5k
ventoy,Ventoy,35.5k
wordplate,wordplate,1.7k
wordplate,extended-acf,311
wordplate,plate,76
wordplate,framework,41
fiskhandlarn,blade,25
wordplate,mail,25
Levdbas,BasePlate,20
wordplate,wordplate.github.io,18
hoymultimedia,polylang,6
neone35,plumber123,5
digitalocean,nginxconfig.io,20.9k
benweet,stackedit,19.3k
Automattic,wp-calypso,12.1k
roots,sage,11.8k
WordPress,gutenberg,7.9k
woocommerce,woocommerce,7.9k
wpscanteam,wpscan,6.7k
roots,bedrock,5.6k
timber,timber,5.1k
Varying-Vagrant-Vagrants,VVV,4.6k
dotnet-architecture,eShopOnContainers,20.8k
mono,mono,9.9k
reactiveui,ReactiveUI,7k
unoplatform,uno,6.6k
reactiveui,refit,6k
xamarin,Xamarin.Forms,5.6k
NLog,NLog,5.5k
xamarin,xamarin-forms-samples,4.2k
neuecc,MessagePack-CSharp,3.9k
MvvmCross,MvvmCross,3.7k
SheetJS,sheetjs,30.4k
xbmc,xbmc,13.9k
jhy,jsoup,9.5k
dbohdan,structured-text-tools,6.3k
pocoproject,poco,6.1k
reactiveui,refit,6k
rest-assured,rest-assured,5.9k
sparklemotion,nokogiri,5.9k
mikefarah,yq,5.8k
mledoze,countries,5.5k
